"Rank","Player","Team","Positions","Yahoo","CBS","RTS","NFBC","FT","AVG"
"819","Jett Williams","MIL","2B,SS,OF","","","","1067","783","925.0"
"820","Tim Herrin","CLE","RP","","","","783","903","843.0"
"821","Bryse Wilson","PHI","SP,RP","","","","902","784","843.0"
"822","Jeferson Quero","MIL","C","","","","973","785","879.0"
"823","Craig Yoho","MIL","RP","","","","1198","786","992.0"
"824","Jake Cousins","LAD","RP","","","","794","867","830.5"
"825","Edgardo Henriquez","LAD","RP","","","","848","813","830.5"
"826","Grant McCray","SF","LF,CF,RF","","","","1028","787","907.5"
"827","Hector Neris","","RP","","","","1009","788","898.5"
"828","Daniel Lynch","KC","RP","","","","1222","789","1,005.5"
"829","Slade Cecconi","CLE","SP","","","","1185","791","988.0"
"830","Jake Bloss","TOR","SP","","","","1097","792","944.5"
"831","Cooper Bowman","TB","1B,2B,LF","","","","792","888","840.0"
"832","Anthony Bender","MIA","RP","","","","1283","793","1,038.0"
"833","Taylor Walls","TB","SS","","","","1131","795","963.0"
"834","Ben Rortvedt","NYM","C","","","","1147","796","971.5"
"835","Jordan Wicks","CHC","SP,RP","","","","1225","797","1,011.0"
"836","Cole Young","SEA","2B","","","","1065","798","931.5"
"837","Emmanuel Rivera","","1B,3B","","","","798","898","848.0"
"838","Blaze Alexander","BAL","2B,3B,SS,CF","","","","926","799","862.5"
"839","Braxton Ashcraft","PIT","SP,RP","","","","1027","800","913.5"
"840","Jon Berti","","2B,3B","","","","967","801","884.0"
"841","JT Brubaker","SF","RP","","","","801","878","839.5"
"842","Logan Evans","SEA","SP","","","","1087","802","944.5"
"843","Ethan Salas","SD","C","","","","802","975","888.5"
"844","Patrick Sandoval","BOS","SP","","","","803","994","898.5"
"845","Tyson Miller","CWS","RP","","","","918","803","860.5"
"846","Daniel Hudson","","RP","","","","894","804","849.0"
"847","Dedniel Nunez","NYM","RP","","","","1037","806","921.5"
"848","Colin Holderman","CLE","RP","","","","1077","807","942.0"
"849","Andrew Nardi","MIA","RP","","","","1020","808","914.0"
"850","Eguy Rosario","","3B","","","","1175","809","992.0"
"851","Daniel Schneemann","CLE","2B,3B,SS,CF,RF","","","","1003","810","906.5"
"852","Harry Ford","WSH","C","","","","1051","811","931.0"
"853","Payton Eeles","BAL","2B,SS,LF","","","","1058","812","935.0"
"854","Yoniel Curet","DET","SP","","","","871","819","845.0"
"855","Rowdy Tellez","ATL","1B","","","","1107","816","961.5"
"856","Denzel Clarke","ATH","CF","","","","1008","817","912.5"
"857","Tim Anderson","","2B,SS","","","","1105","820","962.5"
"858","Pedro Leon","PHI","RF","","","","820","894","857.0"
"859","Trevor Bauer","","SP","","","","948","821","884.5"
"860","Dylan Lee","ATL","RP","","","","997","822","909.5"
"861","Nathan Lukes","TOR","LF,CF,RF","","","","965","823","894.0"
"862","Ryan Noda","BAL","1B","","","","850","848","849.0"
"863","James McCann","ARI","C","","","","992","824","908.0"
"864","Ian Seymour","TB","SP,RP","","","","1127","825","976.0"
"865","Tommy Kahnle","BOS","RP","","","","1160","827","993.5"
"866","Brett Wisely","ATL","2B","","","","889","828","858.5"
"867","Nick Mears","KC","RP","","","","1030","829","929.5"
"868","Roansy Contreras","","SP,RP","","","","832","910","871.0"
"869","Bryan Hudson","CWS","RP","","","","931","834","882.5"
"870","Chayce McDermott","LAD","SP,RP","","","","1085","835","960.0"
"871","Ben Casparius","LAD","SP,RP","","","","928","837","882.5"
"872","Connor Phillips","CIN","RP","","","","970","838","904.0"
"873","Ryan Fernandez","STL","RP","","","","1227","840","1,033.5"
"874","Dane Myers","CIN","LF,CF,RF","","","","1103","841","972.0"
"875","Carson Whisenhunt","SF","SP","","","","1083","842","962.5"
"876","Sebastian Walcott","TEX","3B,SS","","","","842","999","920.5"
"877","Taijuan Walker","","SP,RP","","","","933","844","888.5"
"878","Drew Gilbert","SF","LF,CF,RF","","","","872","847","859.5"
"879","Max Muncy","ATH","2B,3B,SS","","","","982","845","913.5"
"880","Tom Murphy","","C","","","","951","846","898.5"
"881","Manuel Rodriguez","TB","RP","","","","966","849","907.5"
"882","Marc Church","TEX","RP","","","","1044","850","947.0"
"883","Shane Smith","CWS","SP","","","","1005","851","928.0"
"884","Kyle McCann","COL","C","","","","861","866","863.5"
"885","James Triantos","CHC","2B,LF,CF","","","","963","853","908.0"
"886","Cody Thomas","","LF,RF","","","","854","990","922.0"
"887","Drue Hackenberg","ATL","SP","","","","920","855","887.5"
"888","Sam Aldegheri","LAA","SP","","","","855","893","874.0"
"889","James McArthur","KC","RP","","","","908","856","882.0"
"890","Zach Maxwell","CIN","RP","","","","975","857","916.0"
"891","Luis Torrens","NYM","C","","","","1056","858","957.0"
"892","Collin Snider","CHC","RP","","","","1021","859","940.0"
"893","Nasim Nunez","WSH","2B,SS","","","","859","916","887.5"
"894","Tyler Ferguson","CHC","RP","","","","954","860","907.0"
"895","K.C. Hunt","TB","SP","","","","1126","861","993.5"
"896","Yasmani Grandal","","C","","","","1000","862","931.0"
"897","Jairo Iriarte","CWS","RP","","","","862","905","883.5"
"898","Mike Burrows","HOU","SP,RP","","","","985","863","924.0"
"899","Oswald Peraza","LAA","1B,2B,3B,SS","","","","1047","864","955.5"
"900","Nicky Lopez","CHC","3B","","","","864","884","874.0"
"901","Emiliano Teodo","TEX","RP","","","","1069","865","967.0"
"902","Jared Koenig","MIL","RP","","","","974","868","921.0"
"903","Zach DeLoach","","LF,RF","","","","929","870","899.5"
"904","Manuel Margot","","LF,CF,RF","","","","885","871","878.0"
"905","Brady Basso","ATH","RP","","","","962","873","917.5"
"906","Emilio Pagan","CIN","RP","","","","1072","874","973.0"
"907","Enrique Bradfield Jr.","BAL","CF","","","","875","901","888.0"
"908","Liover Peguero","PHI","1B,2B,SS","","","","880","875","877.5"
"909","Stuart Fairchild","CLE","LF,CF,RF","","","","900","876","888.0"
"910","J.T. Ginn","ATH","SP,RP","","","","1046","877","961.5"
"911","Robby Snelling","MIA","SP","","","","924","880","902.0"
"912","Luken Baker","ARI","1B,DH","","","","1014","882","948.0"
"913","Clayton Beeter","WSH","RP","","","","890","883","886.5"
"914","Grant Taylor","CWS","SP,RP","","","","884","985","934.5"
"915","Jordan Leasure","CWS","RP","","","","910","886","898.0"
"916","Rafael Marchan","PHI","C","","","","1045","887","966.0"
"917","Gustavo Campero","LAA","RF","","","","897","889","893.0"
"918","Keaton Winn","SF","SP,RP","","","","1041","890","965.5"
"919","Trent Grisham","NYY","CF","","","","971","891","931.0"
"920","Sawyer Gipson-Long","DET","SP,RP","","","","1102","892","997.0"
"921","Ryan Yarbrough","NYY","SP,RP","","","","892","995","943.5"
"922","Ryan Zeferjahn","LAA","RP","","","","1032","895","963.5"
"923","Alexander Canario","","LF,CF,RF","","","","895","909","902.0"
"924","Nelson Velazquez","STL","LF,RF,DH","","","","996","896","946.0"
"925","Oscar Colas","","CF,RF","","","","944","897","920.5"
"926","Brandon Young","BAL","SP","","","","1068","899","983.5"
"927","Joe Ross","","RP","","","","899","902","900.5"
"928","Andrew Morris","MIN","SP,RP","","","","976","900","938.0"
"929","Alejandro Rosario","WSH","SP","","","","953","906","929.5"
"930","Parker Messick","CLE","SP","","","","1001","907","954.0"
"931","Charlie Condon","COL","1B,OF","","","","987","912","949.5"
"932","Aaron Bummer","","RP","","","","912","914","913.0"
"933","Sean Bouchard","","LF,RF","","","","1042","913","977.5"
"934","Alex Freeland","LAD","2B,3B,SS","","","","943","981","962.0"
""
""
