"Rank","Player","Team","Positions","NFBC","CBS","RTS","ESPN","Yahoo","FT","AVG"
"792","Brooks Raley","NYM","RP","783","","","","","724","753.5"
"793","Jeferson Quero","MIL","C","733","","","","","774","753.5"
"794","Alexander Canario","","LF,CF,RF","797","","","","","713","755.0"
"795","Austin Gomber","ATL","SP","788","","","","","722","755.0"
"796","Spencer Turnbull","","SP,RP","719","","","","","793","756.0"
"797","Carlos Hernandez","CLE","RP","941","","","","","696","818.5"
"798","Dylan Moore","PHI","1B,2B,3B,LF,RF","748","","","","","782","765.0"
"799","Omar Narvaez","","C","766","","","","","764","765.0"
"800","Avisail Garcia","","LF,RF","735","","","","","797","766.0"
"801","Pedro Avila","CLE","RP","785","","","","","748","766.5"
"802","Eric Lauer","LAD","SP,RP","764","","","","","773","768.5"
"803","Nick Frasso","LAD","SP,RP","859","","","","","720","789.5"
"804","Aledmys Diaz","","1B,2B,3B,SS,LF","841","","","","","721","781.0"
"805","Juan Yepez","","1B","721","","","","","836","778.5"
"806","Zac Veen","COL","LF,RF","722","","","","","878","800.0"
"807","Caleb Ferguson","CIN","RP","815","","","","","726","770.5"
"808","Mike Vasil","CWS","SP,RP","743","","","","","800","771.5"
"809","Luken Baker","ARI","1B,DH","749","","","","","796","772.5"
"810","Anthony Bender","MIA","RP","729","","","","","887","808.0"
"811","Joey Loperfido","HOU","LF,CF,RF","811","","","","","738","774.5"
"812","Osleivis Basabe","SF","2B,3B,SS,OF","891","","","","","732","811.5"
"813","Jesse Winker","","LF,RF,DH","746","","","","","805","775.5"
"814","Pablo Reyes","SD","2B,3B,RF","880","","","","","735","807.5"
"815","Isaiah Campbell","ARI","RP","1095","","","","","739","917.0"
"816","Jose Azocar","ATL","LF,CF,RF","740","","","","","834","787.0"
"817","Michael Brantley","","LF","852","","","","","741","796.5"
"818","Tanner Rainey","DET","RP","741","","","","","829","785.0"
"819","Troy Johnston","COL","1B,LF,RF,DH","757","","","","","803","780.0"
"820","Tink Hence","STL","SP","894","","","","","746","820.0"
"821","Tyler Holton","DET","SP,RP","800","","","","","767","783.5"
"822","Andy Pages","LAD","LF,CF,RF","770","","","","","798","784.0"
"823","Nate Pearson","HOU","RP","751","","","","","876","813.5"
"824","Tyler Alexander","TEX","SP,RP","752","","","","","839","795.5"
"825","Marcelo Mayer","BOS","2B,3B","779","","","","","791","785.0"
"826","Spencer Arrighetti","HOU","SP","753","","","","","831","792.0"
"827","Donovan Solano","","1B","801","","","","","770","785.5"
"828","Luke Maile","KC","C","754","","","","","820","787.0"
"829","Aaron Bummer","","RP","890","","","","","756","823.0"
"830","Trey Cabbage","","1B,LF,RF","792","","","","","784","788.0"
"831","Darius Vines","","SP","823","","","","","759","791.0"
"832","Reese McGuire","","C","789","","","","","788","788.5"
"833","Tekoah Roby","STL","SP","769","","","","","809","789.0"
"834","Riley Adams","WSH","C","761","","","","","869","815.0"
"835","Danny Coulombe","BOS","RP","849","","","","","761","805.0"
"836","Austin Martin","MIN","2B,LF,CF,RF","882","","","","","762","822.0"
"837","Carson Williams","TB","SS","956","","","","","765","860.5"
"838","Matt Moore","","RP","765","","","","","852","808.5"
"839","Clayton Beeter","WSH","RP","768","","","","","818","793.0"
"840","Jacob Lopez","ATH","SP","892","","","","","769","830.5"
"841","Jacob Stallings","","C","771","","","","","843","807.0"
"842","Adael Amador","COL","2B","775","","","","","826","800.5"
"843","Colin Holderman","CLE","RP","803","","","","","790","796.5"
"844","Joey Bart","PIT","C","853","","","","","777","815.0"
"845","Jose Barrero","BAL","SS,CF","1107","","","","","780","943.5"
"846","Bryan Ramos","BAL","3B","820","","","","","781","800.5"
"847","Scott Effross","DET","RP","782","","","","","847","814.5"
"848","Carlos Rodriguez","MIL","RP","784","","","","","853","818.5"
"849","Touki Toussaint","","RP","902","","","","","785","843.5"
"850","Roman Anthony","BOS","LF,CF,RF,DH","877","","","","","786","831.5"
"851","Trevor Larnach","MIN","LF,RF,DH","856","","","","","789","822.5"
"852","Blake Treinen","LAD","RP","793","","","","","814","803.5"
"853","Owen White","","SP,RP","809","","","","","799","804.0"
"854","Phil Maton","CHC","RP","791","","","","","833","812.0"
"855","Carson Whisenhunt","SF","SP","860","","","","","792","826.0"
"856","Damiano Palmegiani","TOR","1B,3B","863","","","","","794","828.5"
"857","Bryan Shaw","","RP","848","","","","","795","821.5"
"858","Tommy Henry","ARI","RP","795","","","","","848","821.5"
"859","Jairo Iriarte","CWS","RP","796","","","","","881","838.5"
"860","Tim Mayza","PHI","RP","953","","","","","801","877.0"
"861","Justin Topa","MIN","RP","824","","","","","802","813.0"
"862","Cade Marlowe","ATH","LF,RF","843","","","","","804","823.5"
"863","Fernando Cruz","NYY","RP","804","","","","","823","813.5"
"864","Hoby Milner","CHC","RP","966","","","","","806","886.0"
"865","Eguy Rosario","","3B","851","","","","","807","829.0"
"866","Nick Gonzales","PIT","2B,3B,SS","959","","","","","808","883.5"
"867","River Ryan","LAD","SP","808","","","","","864","836.0"
"868","Spencer Horwitz","PIT","1B","842","","","","","811","826.5"
"869","Shawn Armstrong","CLE","RP","962","","","","","812","887.0"
"870","Addison Barger","TOR","3B,LF,RF","812","","","","","856","834.0"
"871","Trevor Stephan","CLE","RP","839","","","","","813","826.0"
"872","Chase Hampton","NYY","SP","814","","","","","832","823.0"
"873","Oscar Gonzalez","","LF","858","","","","","815","836.5"
"874","German Marquez","SD","SP","984","","","","","816","900.0"
"875","Davis Daniel","CIN","SP","817","","","","","817","817.0"
"876","Santiago Espinal","LAD","2B,3B,LF,RF","818","","","","","822","820.0"
"877","Miguel Sano","","1B,3B","835","","","","","819","827.0"
"878","Luke Weaver","NYM","RP","822","","","","","824","823.0"
"879","Brady House","WSH","3B,DH","935","","","","","825","880.0"
"880","Jake Alu","","2B,LF","825","","","","","841","833.0"
"881","Steven Wilson","TB","RP","826","","","","","910","868.0"
"882","James Karinchak","ATL","RP","887","","","","","828","857.5"
"883","Dauri Moreta","","RP","869","","","","","830","849.5"
"884","Ryan Brasier","TEX","RP","830","","","","","865","847.5"
"885","Nick Allen","HOU","SS","834","","","","","867","850.5"
"886","Tyler Fitzgerald","LAD","2B","985","","","","","835","910.0"
"887","Joey Wendle","","2B,SS","836","","","","","860","848.0"
"888","Ryan Walker","SF","RP","866","","","","","838","852.0"
"889","Corey Julks","DET","LF,RF","840","","","","","857","848.5"
"890","Enyel De Los Santos","HOU","RP","854","","","","","840","847.0"
"891","Owen Caissie","MIA","CF,RF","932","","","","","842","887.0"
"892","Scott McGough","","RP","1015","","","","","844","929.5"
"893","Trevor Gott","WSH","RP","845","","","","","919","882.0"
"894","Jace Peterson","","2B,3B,SS","870","","","","","845","857.5"
"895","Trey Mancini","LAA","1B,LF,RF","896","","","","","846","871.0"
"896","Mason Montgomery","PIT","SP,RP","889","","","","","850","869.5"
"897","Carlos Carrasco","ATL","SP","850","","","","","883","866.5"
"898","Matthew Batten","","1B","898","","","","","855","876.5"
"899","Alex Vesia","LAD","RP","881","","","","","858","869.5"
"900","Andrew Chafin","","RP","861","","","","","892","876.5"
"901","Bubba Chandler","PIT","SP","911","","","","","862","886.5"
"902","Kevin Alcantara","CHC","CF,RF","934","","","","","863","898.5"
"903","Allan Winans","","SP,RP","865","","","","","905","885.0"
"904","Bryse Wilson","PHI","SP,RP","873","","","","","868","870.5"
"905","George Valera","CLE","LF,RF,DH","1028","","","","","871","949.5"
"906","Emmanuel Rivera","","1B,3B","926","","","","","872","899.0"
"907","Caleb Thielbar","CHC","RP","1053","","","","","873","963.0"
"908","Wikelman Gonzalez","CWS","SP,RP","1133","","","","","877","1,005.0"
"909","Tejay Antone","CIN","RP","878","","","","","885","881.5"
"910","Royber Salinas","","SP","921","","","","","879","900.0"
"911","Austin Meadows","","LF","879","","","","","904","891.5"
"912","Noah Syndergaard","","SP","904","","","","","880","892.0"
"913","James Triantos","CHC","2B,LF,CF","914","","","","","882","898.0"
"914","Ian Gibaut","","RP","1084","","","","","884","984.0"
"915","Jose Rodriguez","","2B","1023","","","","","886","954.5"
"916","Mitch Spence","KC","SP,RP","907","","","","","889","898.0"
"917","Tyler Locklear","ARI","1B","1130","","","","","890","1,010.0"
"918","Trevor Richards","CWS","RP","893","","","","","891","892.0"
"919","Pedro Leon","PHI","RF","1129","","","","","893","1,011.0"
"920","Jose Suarez","ATH","RP","955","","","","","894","924.5"
"921","Alex Call","LAD","LF,CF,RF","1043","","","","","895","969.0"
"922","Austin Shenton","","1B","925","","","","","896","910.5"
"923","Slade Cecconi","CLE","SP","913","","","","","897","905.0"
"924","Xzavion Curry","NYM","SP,RP","993","","","","","898","945.5"
"925","Simeon Woods Richardson","MIN","SP","899","","","","","911","905.0"
"926","Adrian Morejon","SD","RP","960","","","","","900","930.0"
"927","Angel Zerpa","MIL","RP","1048","","","","","901","974.5"
"928","Austin Slater","NYM","LF,CF,RF","936","","","","","902","919.0"
"929","Brian Anderson","","3B,RF","927","","","","","903","915.0"
"930","Braden Shewmake","HOU","2B,3B,SS","937","","","","","906","921.5"
"931","Chase Petty","CIN","SP","1131","","","","","908","1,019.5"
"932","Nick Yorke","PIT","2B,3B","1144","","","","","909","1,026.5"
"933","Haydn McGeary","","1B","1292","","","","","912","1,102.0"
"934","Kevin Kelly","TB","RP","1058","","","","","913","985.5"
"935","Landon Knack","LAD","SP","967","","","","","914","940.5"
"936","Dustin Harris","CWS","LF,RF","983","","","","","915","949.0"
"937","Robbie Grossman","","LF,RF","938","","","","","916","927.0"
"938","Jeremiah Estrada","SD","RP","922","","","","","918","920.0"
"939","Emiliano Teodo","TEX","RP","931","","","","","920","925.5"
"940","Luis Patino","","RP","988","","","","","921","954.5"
"941","Zach Jackson","","RP","1113","","","","","922","1,017.5"
"942","Jackson Rutledge","PHI","SP,RP","1088","","","","","923","1,005.5"
"943","Zach DeLoach","","LF,RF","1067","","","","","924","995.5"
"944","Luke Little","CHC","RP","1025","","","","","927","976.0"
"945","Tayler Saucedo","LAA","RP","1121","","","","","995","1,058.0"
"946","Wes Parsons","","SP,RP","1317","","","","","999","1,158.0"
""
""
